id,title,category,tags,scene,pub_time,modify_time,expire_time,status,weight,ext_fields,event_count,event_value_sum,event_value_mean,event_active_days,event_unique_scene_count,event_unique_user_count,event_first_time,event_last_time,event_recency_seconds,event_count_1d,event_count_7d,event_count_30d,event_click_count,event_expose_count,event_buy_count,event_collect_count,event_stay_count,event_click_rate
item_0,title_0,category_98,tags_26,scene_2,1667355833,1667037573,1667494042,1,5,{},7.0,7.0,1.0,6.0,3.0,7.0,1667039620.0,1667609422.0,27609.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0
item_1,title_1,category_2,tags_3,scene_2,1667547283,1667604569,1667626894,1,10,{},7.0,7.0,1.0,4.0,3.0,7.0,1667070441.0,1667543380.0,93651.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0
item_2,title_2,category_37,tags_56,scene_0,1667474746,1667086425,1667370530,1,5,{},12.0,12.0,1.0,7.0,3.0,12.0,1667064129.0,1667572044.0,64987.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0
item_3,title_3,category_1,tags_55,scene_1,1667467100,1667447623,1667121454,1,5,{},8.0,8.0,1.0,4.0,3.0,8.0,1667090490.0,1667474603.0,162428.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0
item_4,title_4,category_60,tags_14,scene_1,1667440761,1667304239,1667446959,1,1,{},13.0,13.0,1.0,7.0,3.0,13.0,1667035742.0,1667625164.0,11867.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0
item_5,title_5,category_50,tags_75,scene_0,1667567481,1667464867,1667482529,1,10,{},8.0,8.0,1.0,5.0,3.0,8.0,1667292059.0,1667616685.0,20346.0,2.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0
item_6,title_6,category_48,tags_66,scene_1,1667192871,1667357228,1667548711,1,10,{},14.0,14.0,1.0,7.0,3.0,14.0,1667059309.0,1667620774.0,16257.0,3.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0
item_7,title_7,category_80,tags_15,scene_2,1667541720,1667512386,1667172339,1,1,{},8.0,8.0,1.0,6.0,3.0,8.0,1667037699.0,1667633062.0,3969.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0
item_8,title_8,category_6,tags_81,scene_2,1667520067,1667036656,1667278294,1,10,{},17.0,17.0,1.0,6.0,3.0,17.0,1667099102.0,1667591014.0,46017.0,2.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,1.0
item_9,title_9,category_18,tags_29,scene_0,1667356426,1667571087,1667081017,1,1,{},11.0,11.0,1.0,8.0,3.0,11.0,1667059944.0,1667632560.0,4471.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,1.0
item_10,title_10,category_90,tags_0,scene_2,1667566920,1667133924,1667162173,1,5,{},11.0,11.0,1.0,6.0,3.0,11.0,1667034889.0,1667601095.0,35936.0,2.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,1.0
item_11,title_11,category_15,tags_82,scene_2,1667392861,1667282794,1667477055,1,10,{},7.0,7.0,1.0,6.0,3.0,7.0,1667071286.0,1667562939.0,74092.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0
item_12,title_12,category_45,tags_18,scene_2,1667385731,1667537607,1667059456,1,5,{},8.0,8.0,1.0,4.0,3.0,8.0,1667111979.0,1667562736.0,74295.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0
item_13,title_13,category_67,tags_6,scene_2,1667162260,1667587677,1667121526,1,10,{},9.0,9.0,1.0,6.0,3.0,9.0,1667039068.0,1667521611.0,115420.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0
item_14,title_14,category_49,tags_8,scene_2,1667558004,1667149774,1667500366,1,5,{},8.0,8.0,1.0,5.0,3.0,8.0,1667185289.0,1667584531.0,52500.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0
item_15,title_15,category_3,tags_32,scene_1,1667321557,1667108765,1667123250,1,5,{},7.0,7.0,1.0,5.0,3.0,7.0,1667077191.0,1667632391.0,4640.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0
item_16,title_16,category_55,tags_62,scene_2,1667532282,1667399035,1667287528,1,5,{},11.0,11.0,1.0,7.0,3.0,11.0,1667050105.0,1667608048.0,28983.0,2.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,1.0
item_17,title_17,category_25,tags_0,scene_0,1667536343,1667598303,1667265964,1,5,{},6.0,6.0,1.0,5.0,2.0,6.0,1667052953.0,1667591404.0,45627.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0
item_18,title_18,category_24,tags_96,scene_2,1667489547,1667592354,1667447533,1,5,{},13.0,13.0,1.0,7.0,3.0,13.0,1667078028.0,1667616773.0,20258.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0
item_19,title_19,category_43,tags_12,scene_1,1667227667,1667466879,1667354365,1,1,{},8.0,8.0,1.0,7.0,2.0,8.0,1667048692.0,1667632108.0,4923.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0
item_20,title_20,category_75,tags_22,scene_0,1667490452,1667240532,1667510355,1,5,{},7.0,7.0,1.0,4.0,3.0,7.0,1667109328.0,1667417833.0,219198.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0
item_21,title_21,category_76,tags_94,scene_2,1667478413,1667256198,1667493832,1,1,{},3.0,3.0,1.0,3.0,2.0,3.0,1667200415.0,1667550659.0,86372.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0
item_22,title_22,category_42,tags_11,scene_1,1667510262,1667108276,1667267471,1,10,{},9.0,9.0,1.0,6.0,3.0,9.0,1667199696.0,1667628028.0,9003.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0
item_23,title_23,category_21,tags_35,scene_1,1667510897,1667511269,1667589647,1,5,{},8.0,8.0,1.0,6.0,3.0,8.0,1667048334.0,1667546551.0,90480.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0
item_24,title_24,category_37,tags_71,scene_0,1667397108,1667193248,1667349422,1,10,{},7.0,7.0,1.0,5.0,3.0,7.0,1667079076.0,1667513105.0,123926.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0
item_25,title_25,category_40,tags_10,scene_2,1667558814,1667303092,1667155927,1,1,{},5.0,5.0,1.0,3.0,2.0,5.0,1667039023.0,1667470477.0,166554.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0
item_26,title_26,category_38,tags_58,scene_1,1667268378,1667159871,1667493575,1,1,{},3.0,3.0,1.0,3.0,2.0,3.0,1667110994.0,1667299453.0,337578.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0
item_27,title_27,category_5,tags_12,scene_1,1667415575,1667102595,1667167733,1,10,{},9.0,9.0,1.0,5.0,3.0,9.0,1667033808.0,1667629847.0,7184.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0
item_28,title_28,category_25,tags_22,scene_1,1667275947,1667157315,1667539666,1,10,{},5.0,5.0,1.0,3.0,3.0,5.0,1667040474.0,1667594258.0,42773.0,2.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0
item_29,title_29,category_81,tags_69,scene_0,1667189308,1667285156,1667175822,1,1,{},8.0,8.0,1.0,6.0,3.0,8.0,1667049298.0,1667632820.0,4211.0,2.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0
item_30,title_30,category_94,tags_89,scene_1,1667316761,1667380064,1667157680,1,1,{},8.0,8.0,1.0,5.0,3.0,8.0,1667097494.0,1667496116.0,140915.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0
item_31,title_31,category_77,tags_40,scene_0,1667236775,1667401960,1667518636,1,10,{},6.0,6.0,1.0,5.0,3.0,6.0,1667037541.0,1667535675.0,101356.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0
item_32,title_32,category_16,tags_17,scene_2,1667108576,1667581721,1667274194,1,10,{},16.0,16.0,1.0,7.0,3.0,16.0,1667077931.0,1667592593.0,44438.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0
item_33,title_33,category_39,tags_76,scene_0,1667054358,1667083999,1667244354,1,10,{},16.0,16.0,1.0,7.0,3.0,16.0,1667034435.0,1667567015.0,70016.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0
item_34,title_34,category_25,tags_45,scene_0,1667599791,1667212898,1667497195,1,5,{},13.0,13.0,1.0,7.0,3.0,13.0,1667047593.0,1667599727.0,37304.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0
item_35,title_35,category_58,tags_32,scene_0,1667463892,1667492799,1667404083,1,10,{},8.0,8.0,1.0,4.0,3.0,8.0,1667068966.0,1667427326.0,209705.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0
item_36,title_36,category_79,tags_42,scene_0,1667580471,1667500536,1667172538,1,10,{},13.0,13.0,1.0,4.0,3.0,13.0,1667061797.0,1667628802.0,8229.0,4.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0
item_37,title_37,category_38,tags_95,scene_2,1667554202,1667422184,1667462304,1,10,{},11.0,11.0,1.0,5.0,3.0,11.0,1667050529.0,1667634849.0,2182.0,5.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,1.0
item_38,title_38,category_70,tags_72,scene_1,1667185480,1667312123,1667476394,1,1,{},5.0,5.0,1.0,4.0,2.0,5.0,1667330494.0,1667624369.0,12662.0,2.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0
item_39,title_39,category_69,tags_97,scene_1,1667371340,1667301535,1667432502,1,10,{},10.0,10.0,1.0,6.0,3.0,10.0,1667056383.0,1667624444.0,12587.0,2.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0
item_40,title_40,category_86,tags_73,scene_1,1667296266,1667501482,1667169879,1,10,{},8.0,8.0,1.0,3.0,3.0,8.0,1667206719.0,1667427614.0,209417.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0
item_41,title_41,category_66,tags_47,scene_0,1667567459,1667388461,1667340351,1,5,{},16.0,16.0,1.0,7.0,3.0,16.0,1667049657.0,1667629886.0,7145.0,3.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0
item_42,title_42,category_16,tags_36,scene_2,1667157764,1667193702,1667587498,1,10,{},6.0,6.0,1.0,4.0,3.0,6.0,1667179305.0,1667609725.0,27306.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0
item_43,title_43,category_36,tags_42,scene_0,1667547172,1667093762,1667589681,1,1,{},6.0,6.0,1.0,5.0,3.0,6.0,1667075853.0,1667506725.0,130306.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0
item_44,title_44,category_14,tags_11,scene_2,1667530925,1667042193,1667077572,1,1,{},12.0,12.0,1.0,7.0,3.0,12.0,1667050709.0,1667620957.0,16074.0,3.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0
item_45,title_45,category_88,tags_48,scene_0,1667560562,1667141211,1667508643,1,1,{},7.0,7.0,1.0,4.0,3.0,7.0,1667226423.0,1667440703.0,196328.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0
item_46,title_46,category_45,tags_15,scene_0,1667509620,1667561730,1667602565,1,1,{},10.0,10.0,1.0,7.0,3.0,10.0,1667033487.0,1667568186.0,68845.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0
item_47,title_47,category_98,tags_71,scene_0,1667502796,1667569041,1667382688,1,10,{},3.0,3.0,1.0,3.0,2.0,3.0,1667118341.0,1667561374.0,75657.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0
item_48,title_48,category_48,tags_33,scene_0,1667536864,1667405114,1667097008,1,5,{},10.0,10.0,1.0,5.0,3.0,10.0,1667126288.0,1667630932.0,6099.0,4.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0
item_49,title_49,category_68,tags_68,scene_0,1667379774,1667241775,1667040276,1,1,{},13.0,13.0,1.0,8.0,3.0,13.0,1667083474.0,1667622012.0,15019.0,2.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0
item_50,title_50,category_93,tags_59,scene_1,1667351836,1667297980,1667204864,1,1,{},10.0,10.0,1.0,7.0,3.0,10.0,1667170345.0,1667632740.0,4291.0,2.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0
item_51,title_51,category_34,tags_84,scene_2,1667437768,1667532081,1667472108,1,1,{},7.0,7.0,1.0,6.0,2.0,7.0,1667133493.0,1667618316.0,18715.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0
item_52,title_52,category_82,tags_82,scene_0,1667129696,1667079221,1667544816,1,10,{},4.0,4.0,1.0,3.0,3.0,4.0,1667109787.0,1667503500.0,133531.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
item_53,title_53,category_6,tags_81,scene_0,1667236954,1667230626,1667241369,1,5,{},7.0,7.0,1.0,4.0,3.0,7.0,1667088380.0,1667458246.0,178785.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0
item_54,title_54,category_91,tags_59,scene_1,1667125899,1667088027,1667222779,1,5,{},10.0,10.0,1.0,6.0,3.0,10.0,1667216393.0,1667623017.0,14014.0,2.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0
item_55,title_55,category_61,tags_17,scene_1,1667422899,1667449420,1667230264,1,10,{},11.0,11.0,1.0,5.0,3.0,11.0,1667039126.0,1667630249.0,6782.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,1.0
item_56,title_56,category_9,tags_98,scene_0,1667317516,1667234746,1667340791,1,5,{},7.0,7.0,1.0,5.0,3.0,7.0,1667078073.0,1667398955.0,238076.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0
item_57,title_57,category_48,tags_48,scene_1,1667578301,1667188825,1667141145,1,5,{},4.0,4.0,1.0,3.0,3.0,4.0,1667092494.0,1667494412.0,142619.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
item_58,title_58,category_72,tags_89,scene_2,1667431672,1667396649,1667357734,1,5,{},12.0,12.0,1.0,8.0,3.0,12.0,1667087373.0,1667623870.0,13161.0,3.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0
item_59,title_59,category_36,tags_16,scene_2,1667614930,1667515424,1667294461,1,1,{},14.0,14.0,1.0,7.0,3.0,14.0,1667072958.0,1667598187.0,38844.0,1.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0
item_60,title_60,category_48,tags_66,scene_0,1667081140,1667407893,1667545858,1,5,{},8.0,8.0,1.0,5.0,2.0,8.0,1667112190.0,1667474162.0,162869.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0
item_61,title_61,category_37,tags_90,scene_1,1667339206,1667045220,1667237091,1,5,{},8.0,8.0,1.0,5.0,3.0,8.0,1667068241.0,1667587515.0,49516.0,2.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0
item_62,title_62,category_50,tags_56,scene_1,1667607574,1667358184,1667361581,1,5,{},6.0,6.0,1.0,4.0,3.0,6.0,1667106858.0,1667576658.0,60373.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0
item_63,title_63,category_6,tags_97,scene_2,1667438711,1667492460,1667035242,1,1,{},10.0,10.0,1.0,6.0,3.0,10.0,1667035607.0,1667530683.0,106348.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0
item_64,title_64,category_41,tags_9,scene_1,1667580292,1667546009,1667252760,1,1,{},15.0,15.0,1.0,8.0,3.0,15.0,1667034597.0,1667606700.0,30331.0,2.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0
item_65,title_65,category_10,tags_16,scene_0,1667263838,1667144285,1667572223,1,5,{},17.0,17.0,1.0,8.0,3.0,17.0,1667064676.0,1667620966.0,16065.0,4.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,1.0
item_66,title_66,category_96,tags_63,scene_2,1667214054,1667165989,1667430237,1,5,{},12.0,12.0,1.0,6.0,3.0,12.0,1667071447.0,1667597133.0,39898.0,2.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0
item_67,title_67,category_90,tags_32,scene_2,1667276279,1667468193,1667102487,1,5,{},12.0,12.0,1.0,6.0,3.0,12.0,1667161327.0,1667635786.0,1245.0,6.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0
item_68,title_68,category_35,tags_92,scene_2,1667120766,1667473075,1667479166,1,5,{},9.0,9.0,1.0,6.0,3.0,9.0,1667062545.0,1667581350.0,55681.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0
item_69,title_69,category_16,tags_17,scene_2,1667548960,1667100395,1667141361,1,5,{},12.0,12.0,1.0,7.0,3.0,12.0,1667057236.0,1667549322.0,87709.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0
item_70,title_70,category_11,tags_61,scene_1,1667227599,1667514765,1667422936,1,5,{},14.0,14.0,1.0,6.0,3.0,14.0,1667039880.0,1667545463.0,91568.0,0.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0
item_71,title_71,category_74,tags_23,scene_1,1667049656,1667224591,1667067742,1,1,{},15.0,15.0,1.0,8.0,3.0,15.0,1667080983.0,1667627592.0,9439.0,1.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0
item_72,title_72,category_24,tags_98,scene_1,1667053362,1667373718,1667056748,1,5,{},13.0,13.0,1.0,5.0,3.0,13.0,1667110108.0,1667566515.0,70516.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0
item_73,title_73,category_3,tags_8,scene_2,1667534319,1667284038,1667072995,1,10,{},16.0,16.0,1.0,7.0,3.0,16.0,1667057212.0,1667591768.0,45263.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0
item_74,title_74,category_9,tags_64,scene_2,1667517180,1667257601,1667049474,1,5,{},17.0,17.0,1.0,8.0,3.0,17.0,1667041745.0,1667618869.0,18162.0,2.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,1.0
item_75,title_75,category_22,tags_39,scene_2,1667148116,1667147782,1667398430,1,5,{},9.0,9.0,1.0,5.0,3.0,9.0,1667057496.0,1667580261.0,56770.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0
item_76,title_76,category_94,tags_82,scene_2,1667419954,1667549729,1667298173,1,10,{},7.0,7.0,1.0,5.0,3.0,7.0,1667146049.0,1667587552.0,49479.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0
item_77,title_77,category_66,tags_6,scene_1,1667585404,1667626887,1667204300,1,5,{},11.0,11.0,1.0,7.0,3.0,11.0,1667048128.0,1667623096.0,13935.0,4.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,1.0
item_78,title_78,category_50,tags_37,scene_0,1667411921,1667338453,1667076502,1,10,{},11.0,11.0,1.0,6.0,3.0,11.0,1667056470.0,1667610399.0,26632.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,1.0
item_79,title_79,category_11,tags_63,scene_0,1667103360,1667245819,1667324235,1,10,{},6.0,6.0,1.0,6.0,3.0,6.0,1667086362.0,1667620356.0,16675.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0
item_80,title_80,category_18,tags_42,scene_1,1667119245,1667096586,1667265715,1,1,{},13.0,13.0,1.0,6.0,3.0,13.0,1667093196.0,1667606474.0,30557.0,3.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0
item_81,title_81,category_24,tags_95,scene_1,1667241435,1667394613,1667189441,1,10,{},12.0,12.0,1.0,6.0,3.0,12.0,1667034477.0,1667633635.0,3396.0,4.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,1.0
item_82,title_82,category_31,tags_29,scene_1,1667285524,1667480710,1667139116,1,5,{},4.0,4.0,1.0,2.0,1.0,4.0,1667275861.0,1667494293.0,142738.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
item_83,title_83,category_16,tags_16,scene_1,1667595115,1667618230,1667097004,1,10,{},15.0,15.0,1.0,7.0,3.0,15.0,1667033184.0,1667608045.0,28986.0,5.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0
item_84,title_84,category_38,tags_16,scene_2,1667177591,1667098333,1667540309,1,1,{},9.0,9.0,1.0,5.0,3.0,9.0,1667108000.0,1667544833.0,92198.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0
item_85,title_85,category_76,tags_37,scene_1,1667537641,1667471090,1667567434,1,5,{},14.0,14.0,1.0,6.0,3.0,14.0,1667046763.0,1667565322.0,71709.0,1.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0
item_86,title_86,category_83,tags_6,scene_0,1667243785,1667135265,1667159708,1,5,{},7.0,7.0,1.0,5.0,3.0,7.0,1667043177.0,1667513472.0,123559.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0
item_87,title_87,category_26,tags_59,scene_1,1667132610,1667093453,1667102642,1,5,{},10.0,10.0,1.0,7.0,3.0,10.0,1667055390.0,1667628442.0,8589.0,2.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0
item_88,title_88,category_31,tags_0,scene_1,1667343803,1667063332,1667277057,1,5,{},11.0,11.0,1.0,6.0,3.0,11.0,1667041879.0,1667586947.0,50084.0,1.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,1.0
item_89,title_89,category_79,tags_90,scene_2,1667480233,1667275076,1667445442,1,10,{},13.0,13.0,1.0,6.0,3.0,12.0,1667154913.0,1667620816.0,16215.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0
item_90,title_90,category_77,tags_21,scene_0,1667305717,1667067243,1667363698,1,5,{},13.0,13.0,1.0,5.0,3.0,13.0,1667035481.0,1667614398.0,22633.0,1.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0
item_91,title_91,category_10,tags_6,scene_0,1667186047,1667126620,1667162690,1,10,{},9.0,9.0,1.0,4.0,3.0,9.0,1667256821.0,1667601851.0,35180.0,4.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0
item_92,title_92,category_13,tags_94,scene_0,1667516660,1667171374,1667190697,1,1,{},16.0,16.0,1.0,6.0,3.0,16.0,1667053492.0,1667606138.0,30893.0,2.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0
