scene,item,vector
scene_0,item_0,"[0.6129895604297543, -0.13379790546259474, 0.04662654281272241, -0.4865378380457989, 0.09325308562544475, 0.11555273653587722, 0.41761164432264414, 0.3912575114284966, 0.07703515769058482, 0.10947101356030475]"
scene_1,item_1,"[0.5369644740451418, -0.2649459440759186, -0.030910360142190518, -0.10377049476306811, 0.41066621331767383, 0.3002720699527077, -0.5078130594788439, -0.19650157518963962, -0.27156959267781655, 0.02649459440759189]"
scene_2,item_2,"[0.12272849210503364, -0.19201070539013332, 0.587909067019274, -0.09699509859913952, -0.11085154125615942, -0.6195809359496054, 0.21180562347159038, 0.1306464593376165, 0.30286224664629274, 0.2078466398552989]"
scene_0,item_3,"[0.8771249612189703, -0.08837461682197781, 0.035948996673346924, -0.2261791040698076, -0.049429870425851986, -0.14978748613894544, -0.0748937430694727, 0.10784699002004067, 0.260630225881765, -0.24565147726787057]"
scene_1,item_4,"[0.46379951020052557, 0.1408709397775048, 0.010836226136731141, 0.3386320667728481, -0.10023509176476307, -0.20317924006370888, 0.062308300286204106, 0.6664279074089652, -0.2979962187601064, 0.24923320114481615]"
scene_2,item_5,"[-0.06794797954489776, -0.17358631586139162, -0.13095108038666387, -0.32585501398541944, -0.09745196679937776, -0.19947199454247633, 0.3821944322913097, -0.07156628811829305, 0.6136428534398318, 0.5146681996592137]"
scene_0,item_6,"[0.22043666304192397, -0.41393106726761275, -0.369843734659228, -0.5388451763247031, 0.04653662886440614, 0.47026488115610443, 0.26942258816235154, -0.1885958117136461, -0.13716059033719716, -0.05143522137644895]"
scene_1,item_7,"[0.5062058684126632, 0.590573513148107, 0.07206402987819163, 0.270679526859549, 0.2952867565740535, -0.14940103755234851, 0.29880207510469703, -0.1968578377160357, 0.2741948453901925, 0.06151807428626116]"
scene_2,item_8,"[-0.09051347933088172, -0.22944114528060716, 0.39783831612875914, -0.23786100382301475, 0.1284028427717159, 0.4146780332135743, 0.6209645675025607, 0.1620822769413463, 0.3346893770607021, 0.10945816105129884]"
scene_0,item_9,"[0.4526497167310066, -0.20251210995799193, -0.5453791476096417, -0.41304450149847854, 0.32081126329978915, 0.38296844556412324, -0.08220788622057093, -0.002005070395623732, 0.08421295661619464, -0.15038027967177614]"
scene_1,item_10,"[0.042540764754758875, 0.40512223897809974, 0.05555962134556793, -0.3703974756371198, -0.5509662450102156, 0.3495626176325319, -0.07870946357288797, -0.4305870654281518, 0.2453883276095918, 0.12732413225025993]"
scene_2,item_11,"[0.593284534895952, -0.3739529580106791, 0.23694433115331817, -0.25306299313653713, -0.34977496503585076, 0.38684788759725425, -0.1998714085919147, 0.20793073958352415, 0.15796288743554546, -0.08865264090770411]"
scene_0,item_12,"[0.19121433562397602, 0.17024365794355767, 0.49320589139530674, 0.3880553967831094, 0.017525082435366237, -0.2228189052496563, -0.37553748075784776, 0.44313422729426033, 0.36552314793763846, -0.14020065948292978]"
scene_1,item_13,"[0.3926676272130007, -0.24350513664573134, 0.34385876871791143, 0.19332832060964122, 0.12839361750411288, 0.39698716216788915, 0.06493470310552832, 0.26711775595683246, -0.15495781422910174, 0.5976944263122496]"
scene_2,item_14,"[0.35033537794146086, 0.0021615891205574683, 0.3091072442397104, -0.38692445257977726, -0.04971654977282055, 0.004323178241114814, -0.5836290625505021, 0.008646356482229629, -0.1815734861268229, -0.5058118542104351]"
scene_0,item_15,"[0.12814711790328842, -0.29932094602724957, 0.21195158880848478, 0.20224388245084426, -0.23622085470258608, -0.6229111579486003, 0.19900798033163078, 0.2443106100006199, 0.4514083456302844, -0.24754651211983333]"
scene_1,item_16,"[-0.25423316808025087, -0.484926228004923, 0.3562403034210923, -0.2181383355750301, -0.40332051973224986, 0.3264228330906925, -0.27149591406100865, 0.040802854136336573, 0.3735030494018501, -0.2040142706816828]"
scene_2,item_17,"[0.40880003391686187, -0.26653041858896714, -0.5150520251111123, -0.09004406033411053, 0.13506609050116583, -0.1116546348142971, 0.5204546687311589, 0.37098152857653544, -0.21430486359518308, -0.05762819861383077]"
